T5,T5_units,P5,P5_units,composition,phi,tau,tau_units,ignition_type,ignition_target,ignition_amount,ignition_units,filename
1316,K,1.0,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,1209.0,us,max,OHEX;,,,x10001029.xml
1373,K,0.89,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,1064.0,us,max,OHEX;,,,x10001029.xml
1534,K,0.95,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,753.0,us,max,OHEX;,,,x10001029.xml
1582,K,0.93,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,842.0,us,max,OHEX;,,,x10001029.xml
1944,K,1.12,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,332.0,us,max,OHEX;,,,x10001029.xml
1990,K,1.0,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,381.0,us,max,OHEX;,,,x10001029.xml
2246,K,1.01,bar,"H2:0.0017, CO:0.033, O2:0.0347, Ar:0.9306",0.5,326.0,us,max,OHEX;,,,x10001029.xml
1007,K,15.06,bar,"H2:0.0296, CO:0.0296, O2:0.0296, Ar:0.9112",1.0,6076.0,us,max,OHEX;,,,x10001030.xml
1029,K,15.5,bar,"H2:0.0296, CO:0.0296, O2:0.0296, Ar:0.9112",1.0,4892.0,us,max,OHEX;,,,x10001030.xml
1045,K,15.22,bar,"H2:0.0296, CO:0.0296, O2:0.0296, Ar:0.9112",1.0,4045.0,us,max,OHEX;,,,x10001030.xml
1073,K,15.63,bar,"H2:0.0296, CO:0.0296, O2:0.0296, Ar:0.9112",1.0,1944.0,us,max,OHEX;,,,x10001030.xml
1120,K,15.43,bar,"H2:0.0296, CO:0.0296, O2:0.0296, Ar:0.9112",1.0,684.0,us,max,OHEX;,,,x10001030.xml
1122,K,15.73,bar,"H2:0.0296, CO:0.0296, O2:0.0296, Ar:0.9112",1.0,774.0,us,max,OHEX;,,,x10001030.xml
1124,K,16.42,bar,"H2:0.0296, CO:0.0296, O2:0.0296, Ar:0.9112",1.0,688.0,us,max,OHEX;,,,x10001030.xml
