,mu,mu_star,sigma,mu_star_conf
C2H3 + C5H6 <=> C2H4 + C5H5,-3.581714151856665e-07,4.677831305028253e-07,4.920200224325738e-07,1.9831982180709413e-07
C6H5O <=> C5H5 + CO,1.167114890792256e-07,2.009655002787918e-07,2.6959907282958693e-07,1.0318625722311892e-07
C6H5O + O <=> C5H5 + CO2,-1.7189568438051278e-07,3.96342188347826e-07,5.003383823001199e-07,1.9027008233988407e-07
C6H5O + H <=> C5H6 + CO,-2.6666777479449965e-08,2.663829164068465e-07,3.481205922796467e-07,1.2011085197452186e-07
C6H5O + H <=> C6H5OH,-1.8894418540123478e-07,2.9757885628589906e-07,3.849787357555386e-07,1.9667345085547836e-07
C6H5OH <=> C5H6 + CO,5.221113712747778e-08,2.534402994958618e-07,4.1652695968861303e-07,1.8391453489408795e-07
C6H5OH + O <=> C6H5O + OH,-3.2004885755167986e-07,3.925471099023243e-07,4.034751577989168e-07,2.0958951025351874e-07
C6H5OH + H <=> C6H5O + H2,2.6419048066236043e-08,2.848928558406012e-07,4.2762050246619246e-07,1.841716798628349e-07
C6H5OH + OH <=> C6H5O + H2O,-6.967896395226956e-09,3.1867024195696253e-07,4.1849851321595904e-07,1.4555863945405919e-07
C2H3 + C6H5OH <=> C2H4 + C6H5O,-1.6187105304115515e-07,3.451283223584335e-07,4.204695170299315e-07,1.86519450012886e-07
2 H2CCCH <=> A1,-3.082069916854846e-08,3.376550495597474e-07,4.38925885513207e-07,1.6839578813920832e-07
2 H2CCCH <=> A1- + H,-1.0497537018337762e-08,2.1960168394949143e-07,2.713850355937097e-07,7.951150227163145e-08
C2H3 + H2CCCCH <=> A1,1.2300017195636735e-08,2.1896698157561258e-07,2.9421843364960553e-07,1.0027542269811921e-07
C2H3 + H2CCCCH <=> A1- + H,-7.558473578493727e-08,4.3076340897382166e-07,5.188930706537617e-07,1.4716009484823494e-07
C3H4 + H2CCCH <=> A1 + H,-4.22094076985337e-07,5.284599675702273e-07,6.696107603699998e-07,3.736801057905712e-07
C2H3 + C4H4 <=> A1 + H,1.0142606082835977e-07,3.9377485052778324e-07,4.825602492716546e-07,1.4862657095037097e-07
C2H2 + H2CCCCH <=> A1-,-1.2477641158161582e-07,2.4621751493770944e-07,3.222710429279865e-07,1.3277610251898e-07
C2H2 + C4H4 <=> A1- + H,-1.5475604453105695e-07,4.4997762196397274e-07,8.025342885307713e-07,3.9707421369859024e-07
C2H2 + i-C4H5 <=> A1 + H,9.246892048722229e-08,2.849836092021571e-07,3.715383564750426e-07,1.6165115976441443e-07
C2H3 + i-C4H5 <=> A1 + H2,3.2911023742213483e-07,5.757393950223328e-07,6.526481127088977e-07,2.570055510174195e-07
