,mu,mu_star,sigma,mu_star_conf
C4H2 + OH <=> C4H + H2O,-2.8545273172315026e-07,3.787939619070304e-07,3.8314244381810714e-07,2.135753321828413e-07
C4H2 + O <=> C3H2 + CO,3.473544422685331e-08,2.9035483082665704e-07,4.1842708675017403e-07,1.9733503913900615e-07
C2H + C2H2 <=> C4H2 + H,-2.825213113559895e-08,1.7201702950426656e-07,2.49693020866153e-07,1.3058105375089564e-07
C4H2 + M <=> C4H + H + M,-9.153926424080217e-09,3.358624066864921e-07,4.4909970088737325e-07,1.6068154706434958e-07
C4H2 <=> 2 C2H,-1.3549354491220138e-07,3.47995962119735e-07,4.4014739489542606e-07,1.9493998243708121e-07
C2H3 + H2CCCCH <=> 2 H2CCCH,-5.514047548363252e-08,4.1351725372398664e-07,5.68695469175835e-07,2.879661235084415e-07
CH2 + H2CCCCH <=> C2H + C3H4,1.2399570930757248e-08,3.4034996200805785e-07,4.835570928199279e-07,2.0958413123041073e-07
H2 + H2CCCCH <=> C2H2 + C2H3,8.167849529113456e-09,1.4743435640688566e-07,2.084991896363072e-07,9.724225087623177e-08
H2CCCCH + O2 <=> CH2CO + HCCO,1.8605517912812384e-07,2.0992480301489788e-07,2.0687545105013244e-07,1.375118971149991e-07
H2CCCCH + OH <=> C4H2 + H2O,-1.3689104527476286e-07,4.000962987396743e-07,5.12286136586905e-07,2.0221647803091853e-07
H2CCCCH + O <=> C2H + CH2CO,4.0558285473594324e-07,5.399280512976278e-07,4.5241273685193053e-07,1.7183673834189467e-07
H + H2CCCCH <=> C4H2 + H2,6.752051722327558e-08,3.6208725049941053e-07,4.020845642867374e-07,4.398372713509693e-08
C3H2 + CH2 <=> H + H2CCCCH,1.9898355356424345e-08,2.115268479645155e-07,2.703798308437689e-07,1.05604891585529e-07
C2H + C2H2 <=> H2CCCCH,-2.9763977549054896e-07,7.147436255395474e-07,8.65207631855031e-07,3.5103302263907656e-07
CH + H2CCCH <=> H + H2CCCCH,-2.5634525273179546e-07,3.769457331295281e-07,3.582207781062118e-07,1.420932324195241e-07
2 C2H2 <=> H + H2CCCCH,2.7800901757499817e-07,4.6057687380107013e-07,5.898113587127545e-07,3.5087868133463197e-07
C4H2 + H (+M) <=> H2CCCCH (+M),1.331681794201328e-07,3.0879796565210456e-07,3.7728119185369585e-07,1.7013245302661013e-07
C2H3 + C4H4 <=> C2H4 + H2CCCCH,2.6452922039998127e-07,3.171124570120109e-07,2.572873103918225e-07,1.360497990074183e-07
C2H + C4H4 <=> C2H2 + H2CCCCH,1.1021558381637411e-07,1.5229854442374654e-07,2.056361627624884e-07,1.217306904491358e-07
C2H + C4H4 <=> C2H3 + C4H2,-5.567259077392951e-07,5.567259077392951e-07,3.789537724559143e-07,2.6552785590632417e-07
C4H4 + OH <=> H2CCCCH + H2O,5.994306422681144e-08,2.783927270981682e-07,3.356567715332005e-07,1.1740905664461741e-07
C4H4 + O <=> C3H4 + CO,9.028475245928503e-08,2.2625374086403747e-07,2.975829692809224e-07,1.5018319062085124e-07
C2H2 + C2H3 <=> C4H4 + H,-3.4747838549799217e-07,3.5647563786860113e-07,4.329019499469007e-07,3.5741679471132826e-07
CH2 + H2CCCH <=> C4H4 + H,1.3501705760697202e-07,4.598536147566589e-07,6.036811449590802e-07,2.853319531473166e-07
